date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:57	1292488/1292488	---M--	200	added ('OK')	image/jpeg	etag:%225fc27aab-13b8c8%22	https://freight.cargo.site/t/original/i/1987ced17fdfc81db52b0023b81c2ae04589bffade63ae3aeef41d74a0d445f5/antares_07-min.jpg	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/1987ced17fdfc81db52b0023b81c2ae04589bffade63ae3aeef41d74a0d445f5/antares_07-min.jpg	(from https://stickyrice-magazine.com/Lifestyle)
18:48:57	271050/271050	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:48:56%20GMT	https://stickyrice-magazine.com/Une-invitation-aux-asiatiques-a-prendre-la-vie-doucement	C:/My%20Web%20Sites/test/stickyrice-magazine.com/Une-invitation-aux-asiatiques-a-prendre-la-vie-doucement.html	(from https://stickyrice-magazine.com/Lifestyle)
18:48:58	1562634/1562634	---M--	200	added ('OK')	image/jpeg	etag:%225fbe57a8-17d80a%22	https://freight.cargo.site/t/original/i/d33d7ca23c5baf46eef56a0764e248563f0044cb54f4707c2aeece34f38db925/Laura-Color-3.JPG	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/d33d7ca23c5baf46eef56a0764e248563f0044cb54f4707c2aeece34f38db925/Laura-Color-3.jpg	(from https://stickyrice-magazine.com/Lifestyle)
18:48:58	290419/290419	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:48:57%20GMT	https://stickyrice-magazine.com/To-Harness-Your-Inner-Light-Up-Close-with-LIA	C:/My%20Web%20Sites/test/stickyrice-magazine.com/To-Harness-Your-Inner-Light-Up-Close-with-LIA.html	(from https://stickyrice-magazine.com/Lifestyle)
18:48:58	537454/537454	---M--	200	added ('OK')	image/jpeg	etag:%225fc52c06-8336e%22	https://freight.cargo.site/t/original/i/51febf1738a1048927c7166bd5c93b5d6c3bcd79f538b3693814165821bdc1a2/1.jpg	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/51febf1738a1048927c7166bd5c93b5d6c3bcd79f538b3693814165821bdc1a2/1.jpg	(from https://stickyrice-magazine.com/Lifestyle)
18:48:58	283449/283449	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:48:57%20GMT	https://stickyrice-magazine.com/Art-Versus-Injustice-Catching-Up-With-Albert-Nguyen	C:/My%20Web%20Sites/test/stickyrice-magazine.com/Art-Versus-Injustice-Catching-Up-With-Albert-Nguyen.html	(from https://stickyrice-magazine.com/Lifestyle)
18:48:58	890083/890083	---M--	200	added ('OK')	image/jpeg	etag:%225fbe57a9-d94e3%22	https://freight.cargo.site/t/original/i/fd49ed92ae342fb055b74f8318cbc8b1990db3b1e7c9bff4e2caf9cd09b13c9d/Thumbnail-picture-1.jpg	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/fd49ed92ae342fb055b74f8318cbc8b1990db3b1e7c9bff4e2caf9cd09b13c9d/Thumbnail-picture-1.jpg	(from https://stickyrice-magazine.com/Lifestyle)
18:48:59	313404/313404	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:48:58%20GMT	https://stickyrice-magazine.com/The-Wisdom-of-Style-A-Mix-of-Colours-Prints-and-Eras	C:/My%20Web%20Sites/test/stickyrice-magazine.com/The-Wisdom-of-Style-A-Mix-of-Colours-Prints-and-Eras.html	(from https://stickyrice-magazine.com/Lifestyle)
18:48:59	1352716/1352716	---M--	200	added ('OK')	image/jpeg	etag:%225fca3d8e-14a40c%22	https://freight.cargo.site/t/original/i/2557c1b920d067cb757d01a0c6d7b673ecf4c413e8f42acf28d758e6c3190c21/Image-2-min.jpg	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/2557c1b920d067cb757d01a0c6d7b673ecf4c413e8f42acf28d758e6c3190c21/Image-2-min.jpg	(from https://stickyrice-magazine.com/Lifestyle)
18:48:59	269395/269395	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:48:58%20GMT	https://stickyrice-magazine.com/Cheryl-Sim-Curating-a-Life-Through-Art	C:/My%20Web%20Sites/test/stickyrice-magazine.com/Cheryl-Sim-Curating-a-Life-Through-Art.html	(from https://stickyrice-magazine.com/Lifestyle)
18:48:59	90919/90919	---M--	200	added ('OK')	image/jpeg	etag:%225fbc14e4-16327%22	https://freight.cargo.site/w/450/i/8200ecbd510d8ef20c72ad80403885ed552841a1b28ea298f37403a8f7007d4c/thumbnail.jpg	C:/My%20Web%20Sites/test/freight.cargo.site/w/450/i/8200ecbd510d8ef20c72ad80403885ed552841a1b28ea298f37403a8f7007d4c/thumbnail.jpg	(from https://stickyrice-magazine.com/Lifestyle)
18:48:59	272663/272663	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:48:59%20GMT	https://stickyrice-magazine.com/Back-to-school-A-teacher-s-thoughts-and-worries	C:/My%20Web%20Sites/test/stickyrice-magazine.com/Back-to-school-A-teacher-s-thoughts-and-worries.html	(from https://stickyrice-magazine.com/Lifestyle)
18:49:00	359072/359072	---M--	200	added ('OK')	image/png	etag:%225fc78423-57aa0%22	https://freight.cargo.site/t/original/i/ebea07c9b8e04a6fc411b265a9352c72aad2788aa9a62c2bfc9d1d08db1aa5f4/SR_BackToSchool4-1.png	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/ebea07c9b8e04a6fc411b265a9352c72aad2788aa9a62c2bfc9d1d08db1aa5f4/SR_BackToSchool4-1.png	(from https://stickyrice-magazine.com/Lifestyle)
18:49:00	339149/339149	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:48:59%20GMT	https://stickyrice-magazine.com/For-The-Love-Of-Pho	C:/My%20Web%20Sites/test/stickyrice-magazine.com/For-The-Love-Of-Pho.html	(from https://stickyrice-magazine.com/Lifestyle)
18:49:01	309603/309603	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:49:00%20GMT	https://stickyrice-magazine.com/For-the-Love-of-Food-Bridging-the-Gap-Between-Two-Worlds	C:/My%20Web%20Sites/test/stickyrice-magazine.com/For-the-Love-of-Food-Bridging-the-Gap-Between-Two-Worlds.html	(from https://stickyrice-magazine.com/Lifestyle)
18:49:01	90502/90502	---M--	200	added ('OK')	image/jpeg	etag:%225fbdff14-16186%22	https://freight.cargo.site/t/original/i/2e7489ce0ecedd83eaa5827cdfd89b6f58d7082b44a54528845eddd833cba710/Yatai_AffichesRGB_20200805a_OC-02.jpg	C:/My%20Web%20Sites/test/freight.cargo.site/t/original/i/2e7489ce0ecedd83eaa5827cdfd89b6f58d7082b44a54528845eddd833cba710/Yatai_AffichesRGB_20200805a_OC-02.jpg	(from https://stickyrice-magazine.com/Lifestyle)
18:49:01	257667/257667	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Dec%202020%2023:49:00%20GMT	https://stickyrice-magazine.com/Radical-Compassion-In-The-Face-Of-Violence	C:/My%20Web%20Sites/test/stickyrice-magazine.com/Radical-Compassion-In-The-Face-Of-Violence.html	(from https://stickyrice-magazine.com/Lifestyle)
